district_id,state_name,district_name,season_label,season_start_year,season_end_year,area_ha,production_tonnes,yield_ton_per_ha,yield_kg_per_ha,crop,season,source,source_file,proxy_filled,proxy_source_district,proxy_overlap_years,proxy_selection_rmse,proxy_selection_mae
IND013002,Haryana,Bhiwani,2017 - 2018,2017,2018,117400.0,507700.0,4.32,4320.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013002,Haryana,Bhiwani,2018 - 2019,2018,2019,113000.0,500000.0,4.42,4420.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013002,Haryana,Bhiwani,2019 - 2020,2019,2020,107400.0,449600.0,4.19,4190.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013002,Haryana,Bhiwani,2020 - 2021,2020,2021,116330.0,493120.0,4.24,4240.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013002,Haryana,Bhiwani,2021 - 2022,2021,2022,86914.0,371210.0,4.27,4270.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013002,Haryana,Bhiwani,2022 - 2023,2022,2023,90640.0,371410.0,4.1,4100.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013003,Haryana,Charkhi Dadri,2010 - 2011,2010,2011,101635.0,464000.0,4.57,4570.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,True,Rohtak,6,380.81053906984596,358.3333333333333
IND013003,Haryana,Charkhi Dadri,2011 - 2012,2011,2012,102483.0,512000.0,5.0,5000.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,True,Rohtak,6,380.81053906984596,358.3333333333333
IND013003,Haryana,Charkhi Dadri,2012 - 2013,2012,2013,104032.0,389000.0,3.74,3740.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,True,Rohtak,6,380.81053906984596,358.3333333333333
IND013003,Haryana,Charkhi Dadri,2013 - 2014,2013,2014,102000.0,400000.0,3.92,3920.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,True,Rohtak,6,380.81053906984596,358.3333333333333
