district_name,proxy_district_name,overlap_years,selection_rmse,selection_mae,selected_proxy
Charkhi Dadri,Rohtak,6,380.81053906984596,358.3333333333333,False
Charkhi Dadri,Mahendragarh,6,407.12405971644563,325.0,False
Charkhi Dadri,Jhajjar,6,442.7376951047501,408.3333333333333,False
Charkhi Dadri,Bhiwani,6,465.3672384973685,416.6666666666667,False
Charkhi Dadri,Rohtak,6,380.81053906984596,358.3333333333333,True
Fazilka,Firozpur,11,260.0524422636187,239.0909090909091,False
Fazilka,Muktsar,11,301.3303834663873,250.9090909090909,False
Fazilka,Bathinda,11,338.9422047810189,297.27272727272725,False
Fazilka,Faridkot,11,353.37335393706087,320.0,False
Fazilka,Firozpur,11,260.0524422636187,239.0909090909091,True
Hapur,Ghaziabad,11,279.0894284828952,241.81818181818178,False
Hapur,Meerut,11,309.83866769659335,256.3636363636364,False
Hapur,Bulandshahr,11,338.284441907049,263.63636363636357,False
Hapur,Ghaziabad,11,279.0894284828952,241.81818181818178,True
Pathankot,Hoshiarpur,11,353.79757951790356,248.18181818181827,False
Pathankot,Gurdaspur,11,524.4997616777342,495.45454545454544,False
Pathankot,Amritsar,11,782.4262962675201,750.0,False
Pathankot,Hoshiarpur,11,353.79757951790356,248.18181818181827,True
Sambhal,Badaun,11,136.3818169698586,123.63636363636368,False
Sambhal,Amroha,11,141.96670544372537,111.8181818181819,False
Sambhal,Moradabad,11,204.8724658726186,162.72727272727278,False
Sambhal,Rampur,11,258.01691276489464,213.6363636363636,False
Sambhal,Badaun,11,136.3818169698586,123.63636363636368,True
Shamli,Baghpat,11,396.77105832869506,324.5454545454545,False
Shamli,Muzaffarnagar,11,426.5826148271016,362.72727272727275,False
Shamli,Saharanpur,11,625.4525634218066,580.9090909090909,False
Shamli,Baghpat,11,396.77105832869506,324.5454545454545,True
