w_shock,w_remainder,rmse_all_folds,bias_all,rmse_2019_22,direction_all
0.0,0.0,576.519102941249,-42.10989343930428,336.28195875090324,0.5676937441643324
0.0,0.5,560.5909918340539,-35.72853656519536,326.72420381151227,0.6031746031746031
0.0,0.75,553.5640523776948,-32.30002055942934,323.3351394463964,0.6097105508870215
0.0,1.0,547.2274012505637,-28.71006854763534,320.9263961895009,0.6190476190476191
0.5,0.0,529.8785364811964,-11.245733814538497,340.58840522937595,0.673202614379085
0.5,0.5,516.0136325302318,-4.2543354400288225,334.0328608191839,0.6890756302521008
0.5,0.75,510.26359501225807,-0.5126353123104046,332.153261344884,0.6965452847805789
0.5,1.0,505.37885106190237,3.396080397760643,331.24188122466126,0.6974789915966386
0.75,0.0,534.4159139841597,8.010672247550861,395.56288602412513,0.7021475256769374
0.75,0.5,522.4951792471509,15.314811814867284,390.96158938037,0.711484593837535
0.75,0.75,517.8055484380541,19.217199618587802,389.876685463991,0.7133520074696545
0.75,1.0,514.0370181174965,23.289552457516738,389.6238287496598,0.715219421101774
1.0,0.0,557.8659158018935,29.828887113389545,471.0162612815215,0.7301587301587301
1.0,0.5,548.2683980984713,37.45122734968053,467.91431075278837,0.7394957983193278
1.0,0.75,544.7841737278948,41.51719372582618,467.3942668390055,0.7413632119514473
1.0,1.0,542.242114459959,45.75618391176803,467.5749370242681,0.7432306255835668
