candidate,gamma,dev_rmse,late_rmse,four_year_rmse,corr_with_error
V14 anchor,0.0,254.10775598274657,288.1293919381377,271.6517054513261,
V15 released,1.25,250.6037212857467,287.20036852875205,269.5239106325404,
physical_only from 2016,0.25,253.58658947209327,289.77936831126544,272.2849983555503,0.05932503311597015
physical_only from 2015,0.25,253.94368295417405,287.3987285211258,271.1875949116127,0.11949231917039048
physical_only from 2014,0.0,254.10775598274657,288.1293919381377,271.6517054513261,-0.02258294655230434
physical_only from 2013,0.25,253.89244644350404,284.775467910237,269.776241990063,0.10569800409976535
physical_plus_tiles from 2017,0.0,254.10775598274657,288.1293919381377,271.6517054513261,0.012883403200137445
physical_plus_tiles from 2016,0.0,254.10775598274657,288.1293919381377,271.6517054513261,0.06253528877297841
physical_plus_tiles from 2015,0.0,254.10775598274657,288.1293919381377,271.6517054513261,0.11946994214314438
physical_plus_tiles from 2014,0.0,254.10775598274657,288.1293919381377,271.6517054513261,-0.019474210781633663
physical_plus_tiles from 2013,0.25,253.73595720189599,287.34396643825,271.061331644361,0.07878348633344354
