variant,state_name,season_start_year,actual_shock,predicted_shock,train_seasons
satellite_only,Haryana,2014,-0.2037646234468805,0.008943233422386359,14.0
satellite_only,Punjab,2014,-0.16394574676158866,0.01473728998561996,14.0
satellite_only,Uttar Pradesh,2014,-0.4650835249207156,0.014713056224226702,14.0
satellite_only,Haryana,2015,0.0416483135251385,0.030568000210641013,15.0
satellite_only,Punjab,2015,0.028374499447201017,-0.003999504150754353,15.0
satellite_only,Uttar Pradesh,2015,0.07119710876414909,-0.007689666328733173,15.0
satellite_only,Haryana,2016,0.12724643652246212,-0.0010385033515508738,16.0
satellite_only,Punjab,2016,0.09611309161536456,0.0056435430494471885,16.0
satellite_only,Uttar Pradesh,2016,0.31044111700600274,-0.03107968515710532,16.0
satellite_only,Haryana,2017,0.05088720500803973,0.043578219535261725,17.0
satellite_only,Punjab,2017,0.05403696466635342,0.040578703447990236,17.0
satellite_only,Uttar Pradesh,2017,0.15307831858422996,-0.0033727667559160027,17.0
satellite_only,Haryana,2018,0.03750613378880357,-0.006245675941803076,18.0
satellite_only,Punjab,2018,0.024847926516159004,0.011498115512499754,18.0
satellite_only,Uttar Pradesh,2018,0.10329601891239887,-0.040976187950384345,18.0
satellite_only,Haryana,2019,-0.033813126919701626,-0.003523442052027632,19.0
satellite_only,Punjab,2019,-0.03163557975064987,-0.06349288683442095,19.0
satellite_only,Uttar Pradesh,2019,-0.021728234030626403,-0.01985713523024605,19.0
satellite_only,Haryana,2020,0.0007939163987076915,0.04251967788094007,20.0
satellite_only,Punjab,2020,-0.02898313826699223,0.031796923361227795,20.0
satellite_only,Uttar Pradesh,2020,0.02635885517962548,0.023105721288454267,20.0
satellite_only,Haryana,2021,-0.0547302921212536,0.0365075379693451,21.0
satellite_only,Punjab,2021,-0.16392496530814205,-0.016285119931437685,21.0
satellite_only,Uttar Pradesh,2021,-0.014141867650077493,0.025593822556622334,21.0
satellite_only,Haryana,2022,-0.0150985315377488,0.04214367893028525,22.0
satellite_only,Punjab,2022,0.04963022302674636,0.004816008238412052,22.0
satellite_only,Uttar Pradesh,2022,-0.0007484446839512097,0.015782059057937975,22.0
preclock_weather_only,Haryana,2014,-0.2037646234468805,0.04059746340970262,4.0
preclock_weather_only,Punjab,2014,-0.16394574676158866,0.01879985907491084,4.0
preclock_weather_only,Uttar Pradesh,2014,-0.4650835249207156,-0.021167672015974304,4.0
preclock_weather_only,Haryana,2015,0.0416483135251385,-0.035884635517576216,5.0
preclock_weather_only,Punjab,2015,0.028374499447201017,0.009651576384960878,5.0
preclock_weather_only,Uttar Pradesh,2015,0.07119710876414909,-0.6119923898752183,5.0
preclock_weather_only,Haryana,2016,0.12724643652246212,0.03652401362532285,6.0
preclock_weather_only,Punjab,2016,0.09611309161536456,0.0316527985228141,6.0
preclock_weather_only,Uttar Pradesh,2016,0.31044111700600274,0.012917435213211011,6.0
preclock_weather_only,Haryana,2017,0.05088720500803973,0.13239505535377674,7.0
preclock_weather_only,Punjab,2017,0.05403696466635342,0.1161251818377814,7.0
preclock_weather_only,Uttar Pradesh,2017,0.15307831858422996,0.09887835830368545,7.0
preclock_weather_only,Haryana,2018,0.03750613378880357,-0.005073424122918016,8.0
preclock_weather_only,Punjab,2018,0.024847926516159004,-0.03247137332784687,8.0
preclock_weather_only,Uttar Pradesh,2018,0.10329601891239887,0.07242232317212582,8.0
preclock_weather_only,Haryana,2019,-0.033813126919701626,-0.37777800349513135,9.0
preclock_weather_only,Punjab,2019,-0.03163557975064987,-0.36497074554578246,9.0
preclock_weather_only,Uttar Pradesh,2019,-0.021728234030626403,-0.28723111537177315,9.0
preclock_weather_only,Haryana,2020,0.0007939163987076915,-0.04165015799496625,10.0
preclock_weather_only,Punjab,2020,-0.02898313826699223,-0.0671118603233802,10.0
preclock_weather_only,Uttar Pradesh,2020,0.02635885517962548,-0.07119337227992445,10.0
preclock_weather_only,Haryana,2021,-0.0547302921212536,0.0500944483481876,11.0
preclock_weather_only,Punjab,2021,-0.16392496530814205,-0.01799551025010051,11.0
preclock_weather_only,Uttar Pradesh,2021,-0.014141867650077493,0.047838150121509326,11.0
preclock_weather_only,Haryana,2022,-0.0150985315377488,0.09898709501278784,12.0
preclock_weather_only,Punjab,2022,0.04963022302674636,0.015500344331536966,12.0
preclock_weather_only,Uttar Pradesh,2022,-0.0007484446839512097,0.3227260591353,12.0
satellite_plus_weather,Haryana,2014,-0.2037646234468805,0.053400544928145215,4.0
satellite_plus_weather,Punjab,2014,-0.16394574676158866,0.03169798732522232,4.0
satellite_plus_weather,Uttar Pradesh,2014,-0.4650835249207156,0.027495561347010627,4.0
satellite_plus_weather,Haryana,2015,0.0416483135251385,-0.07111693207690037,5.0
satellite_plus_weather,Punjab,2015,0.028374499447201017,-0.10103783051660613,5.0
satellite_plus_weather,Uttar Pradesh,2015,0.07119710876414909,-0.5404564460212105,5.0
satellite_plus_weather,Haryana,2016,0.12724643652246212,-0.031965319508461,6.0
satellite_plus_weather,Punjab,2016,0.09611309161536456,-0.004708121615147234,6.0
satellite_plus_weather,Uttar Pradesh,2016,0.31044111700600274,-0.09835986207749352,6.0
satellite_plus_weather,Haryana,2017,0.05088720500803973,0.11086230198413907,7.0
satellite_plus_weather,Punjab,2017,0.05403696466635342,0.13743694133110587,7.0
satellite_plus_weather,Uttar Pradesh,2017,0.15307831858422996,0.050127539561425176,7.0
satellite_plus_weather,Haryana,2018,0.03750613378880357,-0.05010915145554462,8.0
satellite_plus_weather,Punjab,2018,0.024847926516159004,-0.04331339260667606,8.0
satellite_plus_weather,Uttar Pradesh,2018,0.10329601891239887,-0.0018771153081827419,8.0
satellite_plus_weather,Haryana,2019,-0.033813126919701626,-0.284664570312294,9.0
satellite_plus_weather,Punjab,2019,-0.03163557975064987,-0.3726786921038871,9.0
satellite_plus_weather,Uttar Pradesh,2019,-0.021728234030626403,-0.24742819929848944,9.0
satellite_plus_weather,Haryana,2020,0.0007939163987076915,-0.06652191868001901,10.0
satellite_plus_weather,Punjab,2020,-0.02898313826699223,-0.045780509176878245,10.0
satellite_plus_weather,Uttar Pradesh,2020,0.02635885517962548,-0.08109755488756107,10.0
satellite_plus_weather,Haryana,2021,-0.0547302921212536,0.028930992229870826,11.0
satellite_plus_weather,Punjab,2021,-0.16392496530814205,-0.05195642113693027,11.0
satellite_plus_weather,Uttar Pradesh,2021,-0.014141867650077493,0.02555206167679728,11.0
satellite_plus_weather,Haryana,2022,-0.0150985315377488,0.11519249890140729,12.0
satellite_plus_weather,Punjab,2022,0.04963022302674636,0.0573923126880593,12.0
satellite_plus_weather,Uttar Pradesh,2022,-0.0007484446839512097,0.26483002415199586,12.0
weather_plus_shock_persistence,Haryana,2014,-0.2037646234468805,0.04051473649666902,4.0
weather_plus_shock_persistence,Punjab,2014,-0.16394574676158866,0.018817394909452882,4.0
weather_plus_shock_persistence,Uttar Pradesh,2014,-0.4650835249207156,-0.02130217705614325,4.0
