model,period,rows,years,rmse,mae,bias,equal_state_rmse,mean_year_rmse,max_year_rmse,direction_accuracy
naive weighted history,2014-2022 (9 folds),1071,9,573.8939626730768,424.77364521797153,-42.73970343613057,529.530974591255,508.02216477084744,1113.2445134105335,0.5788982259570495
naive weighted history,2019-2022 (V15 window),476,4,333.06608726858894,243.63145804295687,63.064658865344875,366.8152726774099,328.8560569009665,416.4133020462736,0.6680672268907563
district layer only (no shock),2014-2022 (9 folds),1071,9,547.2274012505637,405.55659537059984,-28.710068547635345,502.34055874100767,485.24426727175484,1100.9362185464802,0.6190476190476191
district layer only (no shock),2019-2022 (V15 window),476,4,320.9263961895009,235.77124950221864,52.381395183483754,352.1605901652612,317.6577734158203,391.63076605188,0.6890756302521008
full hierarchy with shock layer,2014-2022 (9 folds),1071,9,524.5940923179216,394.6482965763049,9.98844616137773,500.88690940331577,476.58958730960217,1024.6656241828184,0.7292250233426704
full hierarchy with shock layer,2019-2022 (V15 window),476,4,363.7254735080907,282.9711060752219,-19.77553017535078,385.28497609509054,355.07948151372995,477.280683307385,0.6974789915966386
