clock,rows,typical_error,mean_error,direction_accuracy,crps,coverage_80,mean_width_80,auc_severe_drop
15 January,595,420.79928432493824,325.2824894758086,0.6252100840336134,348.3361931519512,0.7243697478991596,1430.0700966158902,0.6192921202163346
15 February,595,364.7677430434253,262.62222391249287,0.6252100840336134,269.2925489559059,0.8100840336134454,1300.2186264940651,0.47179434517696994
5 March,595,426.11007710280626,338.30817253281623,0.5478991596638656,332.7493070883928,0.692436974789916,1131.5492171421279,0.5504552611761484
