model,period,crps_approx,mean_pinball,coverage_80,coverage_90,mean_width_80,brier_rise,brier_skill_rise,auc_rise,brier_severe_drop,brier_skill_drop,auc_severe_drop
V15 as released,dev 2019-20,141.78567478063852,70.89283739031926,0.7857142857142857,0.9159663865546218,608.8634328049947,0.15291692007120844,0.37558924304256536,0.851138985005767,0.07471444738081322,0.14416073661500828,0.824469160768453
V15 as released,untouched 2021-22,162.04120801893166,81.02060400946583,0.7815126050420168,0.8697478991596639,627.6605009719782,0.16200773503809845,0.34287388875774827,0.8372359470103831,0.08528636180737874,0.20294329677987744,0.7987130836495627
V15 as released,four-year,151.91344139978509,75.95672069989254,0.7836134453781513,0.8928571428571429,618.2619668884865,0.15746232755465345,0.3592804926454546,0.8445845231039995,0.08000040459409599,0.1778768291313546,0.8091890420899854
FINAL model,dev 2019-20,140.64331424608332,70.32165712304166,0.8235294117647058,0.9327731092436975,640.9088766368367,0.15102900370379954,0.38329823487615167,0.8582756632064591,0.07260118199285487,0.16836777496394917,0.8319514661274015
FINAL model,untouched 2021-22,158.78534732696536,79.39267366348268,0.7941176470588235,0.9033613445378151,660.6952641810296,0.16145952565708524,0.34509750294880537,0.8358037952022914,0.0833485571706951,0.2210533455903556,0.8133971291866029
FINAL model,four-year,149.71433078652436,74.85716539326218,0.8088235294117647,0.9180672268907563,650.8020704089331,0.1562442646804424,0.36423683145240193,0.8467575382073523,0.07797486958177499,0.19869221469701337,0.8204825834542816
