district_id,district,state,season,last_season,point_forecast,p_increase,p_fall_over_5pct,p_fall_over_10pct,p_fall_over_20pct,p_fall_over_30pct,p_rise_over_5pct,p_rise_over_10pct,p_rise_over_20pct,q10,q90,actual
IND013001,Ambala,Haryana,2019,4750.0,4472.313638599963,0.21076470118247903,0.5568840205869383,0.209407176124617,0.016795759594448897,0.0,0.07467980468759627,0.034214717344098866,0.0,4130.470280939844,4873.396387630658,4180.0
IND013002,Bhiwani,Haryana,2019,4420.0,4385.163212265279,0.4478438248392239,0.2078299077030922,0.0465895940217913,0.0,0.0,0.21488510130738336,0.07572491605160914,0.008285995440959648,4065.8469600683666,4759.815044373285,4190.0
IND013003,Charkhi Dadri,Haryana,2019,5000.0,4483.436146472972,0.10998139300813681,0.7166368663077518,0.5171495176472841,0.08589271033226822,0.0,0.062282662230088826,0.02803766725044221,0.0,4024.5563589010226,5021.837032579908,4570.0
IND013004,Faridabad,Haryana,2019,5140.0,4663.572455410286,0.08966709611716384,0.7225411198143352,0.3993258384290885,0.035156709785266575,0.0,0.041656197972122944,0.009531197972122762,0.0,4299.7511649997095,5090.4417803332335,4200.0
IND013005,Fatehabad,Haryana,2019,5380.0,5086.124866077026,0.23320126240203776,0.5302329942699173,0.19521184737934857,0.010365566664035783,0.0,0.07977459484719573,0.03555439011661954,0.0,4695.21761852455,5544.773981091439,4850.0
IND013006,Gurgaon,Haryana,2019,4950.0,4799.638644184865,0.3387291570378481,0.3452846944654467,0.10681793367537444,0.0,0.0,0.11239323609413465,0.05190408535773683,0.0,4442.558506454163,5218.5986153412605,5060.0
IND013007,Hissar,Haryana,2019,4960.0,4755.803245400655,0.28637071977129325,0.3935681801710905,0.13640581605401894,0.0048368010923775275,0.0,0.0933202259286755,0.044591586164033026,0.0,4397.301494218392,5176.4311870424635,4560.0
IND013008,Jhajjar,Haryana,2019,4760.0,4612.357689770959,0.33776694666092943,0.3518602340320187,0.11137497471047468,0.0012984962543782785,0.0,0.11407569954417118,0.053304245620683366,0.0,4263.734329495699,5021.39537496285,4810.0
IND013009,Jind,Haryana,2019,5240.0,4949.859973567558,0.2246947121977675,0.5356991174063375,0.19523291468778745,0.01095938051085534,0.0,0.07716485688172348,0.03401405626315168,0.0,4575.355958148485,5389.263275288752,4810.0
IND013010,Kaithal,Haryana,2019,4920.0,4873.8143754986995,0.43665520214572406,0.21446334856036767,0.047466155275075264,0.0,0.0,0.20908764470782637,0.07487018639850018,0.003159291003232423,4516.114560109624,5293.50141071284,4600.0
IND013011,Karnal,Haryana,2019,5640.0,5005.944743466907,0.06672579923424804,0.8286768225290791,0.5907184132373374,0.0467512663170337,0.0,0.02559128344238948,0.0,0.0,4612.595236907902,5467.459346238311,4850.0
IND013012,Kurukshetra,Haryana,2019,4960.0,4675.266816888325,0.2162061240581653,0.5488894721963252,0.20542998931009893,0.014676186869511526,0.0,0.07579574937823186,0.034173858519611744,0.0,4318.296034038512,5094.098482622765,4710.0
IND013013,Mahendragarh,Haryana,2019,4740.0,4633.281838890445,0.36916177648783377,0.2725284935282478,0.07612126314370268,0.0,0.0,0.132024673315157,0.05819919674299823,0.0,4296.5052573781995,5028.419770037233,4480.0
IND013014,Mewat,Haryana,2019,4540.0,4418.755666137226,0.3543765932090085,0.30649449529537,0.09197469602062207,0.0,0.0,0.11990242330086387,0.05387432661789904,0.0,4095.830702870965,4797.64157716974,4600.0
IND013015,Palwal,Haryana,2019,4230.0,4431.9298610494925,0.810451595543653,0.0452750380876476,0.018837538087647602,0.0,0.0,0.48559966472985583,0.2516717367386597,0.04181358701810001,4116.185868294965,4802.390382706975,4840.0
IND013016,Panchkula,Haryana,2019,3940.0,3881.5761546986582,0.396924898064811,0.23292106608534796,0.05034985717873961,0.0007968460238785724,0.0,0.16625279335657372,0.06747061595696013,0.008879688401684516,3599.1854006153844,4212.903522659928,4170.0
IND013017,Panipat,Haryana,2019,5220.0,4973.701524313344,0.26494787366962724,0.4450997083919273,0.15627911056475527,0.0066188247356097915,0.0,0.08741440872810491,0.04072947728458509,0.0,4594.8962169126235,5418.151505964759,4750.0
