test_year,train_rows,masked_reconstruction_loss,total_loss,parameters
2004,476,0.00036968025960959494,0.04133441671729088,70695
2005,595,0.06030922755599022,0.10441235452890396,70695
2006,714,0.11043493449687958,0.16108199954032898,70695
2007,833,0.16028620302677155,0.22648605704307556,70695
2008,952,0.10798606276512146,0.1751686930656433,70695
2009,1071,0.16210712492465973,0.2502603530883789,70695
2010,1190,0.1207246407866478,0.2048569917678833,70695
2011,1309,0.13781161606311798,0.22926300764083862,70695
2012,1428,0.15689924359321594,0.24653571844100952,70695
2013,1547,0.15046188235282898,0.2516314685344696,70695
2014,1666,0.15087927877902985,0.24078425765037537,70695
2015,1785,0.17519937455654144,0.2742976248264313,70695
2016,1904,0.17621706426143646,0.27109837532043457,70695
2017,2023,0.1857648640871048,0.2846609652042389,70695
2018,2142,0.15660309791564941,0.2628088593482971,70695
2019,2261,0.18485496938228607,0.2867586314678192,70695
2020,2380,0.16730941832065582,0.27040648460388184,70695
2021,2499,0.16260547935962677,0.27965986728668213,70695
2022,2618,0.182623028755188,0.2922462224960327,70695
