model,period,rows,mean_pinball,crps_approx,coverage_50,coverage_80,coverage_90,mean_width_80,width_cv,corr_width_abs_error,corr_relative,brier_rise,brier_skill_rise,brier_drop,brier_skill_drop
V15-style fixed shape,all folds,714,133.1884239253596,266.3768478507192,0.7128851540616247,0.9649859943977591,0.9873949579831933,2076.6437539029516,0.22962225186154828,0.08045057053170483,0.2053479137433549,0.2596852460435034,-0.039034476011033714,0.12295867062399772,-0.5974474630334234
V15-style fixed shape,2019-2022,476,123.9305028646678,247.8610057293356,0.6890756302521008,0.9831932773109243,0.9978991596638656,1934.918959637668,0.20124483604119184,0.3735903199775115,0.14691287658773355,0.2584066068347414,-0.05146517519150118,0.10223499936760592,-0.05061670975665278
V16 conditional scale,all folds,714,133.97461138588622,267.94922277177244,0.7591036414565826,0.8921568627450981,0.927170868347339,1433.7924622745288,0.5335067932276122,0.07049808539399102,0.1931104467401018,0.2535495528337214,-0.014484768716063634,0.12709145200758662,-0.6511394971370954
V16 conditional scale,2019-2022,476,124.8896354349076,249.7792708698152,0.6995798319327731,0.8550420168067226,0.8970588235294118,1154.2520065042706,0.5096824031934852,0.22759728936112258,0.1818590382455893,0.26631647828166977,-0.08365070817210984,0.11213438398403895,-0.15234761364149163
