feature_set,period,rows,years,rmse,mae,bias,equal_state_rmse,mean_year_rmse,max_year_rmse,direction_accuracy
history_only,all_19_folds,2220,19,507.7298180897596,362.4194330716323,-48.8583736602072,501.0158038903889,432.6803947077758,1177.8874142863892,0.5693693693693693
history_only,v15_window_2019_22,476,4,346.1272670476771,252.57411803057883,65.52707392842555,378.8948547661139,340.40815144682165,435.93753118529276,0.6260504201680672
history_plus_modis_level,all_19_folds,2220,19,508.8882211175912,364.9620812847694,-43.86436848158731,502.19590997846353,434.6251860079172,1199.0434692986423,0.5572072072072072
history_plus_modis_level,v15_window_2019_22,476,4,345.19940379315545,253.25872325468382,74.73646385962698,374.80212411777757,340.30710908988357,425.2401336358071,0.6239495798319328
history_plus_modis_anomaly,all_19_folds,2220,19,489.3043943318613,353.3229979889537,-47.64512565529521,481.32218217311237,422.3203291125488,1157.9604960409758,0.5792792792792792
history_plus_modis_anomaly,v15_window_2019_22,476,4,340.4777778562669,251.155616197172,80.56232966008031,374.4117777802126,336.1107101027334,409.1421403580756,0.6281512605042017
history_plus_modis_all,all_19_folds,2220,19,497.41771099596673,357.8791016284082,-42.991730912005174,489.5438664930534,428.2682837218156,1174.9394909087523,0.5711711711711712
history_plus_modis_all,v15_window_2019_22,476,4,346.15668439179683,256.3524444477966,82.55307623081573,377.6368475247741,341.9495502692556,409.6563830953154,0.6113445378151261
