season_start_year,rows,rmse,bias
2004,112,275.5756134958088,166.0313660299009
2005,112,248.78119100877822,-51.992696554206034
2006,112,358.29301098270537,-246.5458308611597
2007,111,288.03284593119645,-84.28022435327503
2008,115,294.1853300080112,-136.0323593499251
2009,116,296.54435918279796,175.6734652584036
2010,116,300.45861364973206,-220.7499932288573
2011,118,376.01713735411766,-282.25391565922683
2012,118,449.4421348164728,310.4234485450511
2013,119,291.1864765103372,82.07510653463733
2014,119,1174.9394909087523,1095.0298003729652
2015,119,971.9404168314808,-905.8665220116367
2016,119,744.7049908049617,-672.0418830599103
2017,119,319.92653823209537,-104.11600219502168
2018,119,379.27103992022546,-276.529291597735
2019,119,378.9023288347288,232.4227308225231
2020,119,280.8652972538321,-32.2399926786663
2021,119,409.6563830953154,151.33206378120124
2022,119,298.374191893146,-21.30249700179507
