test_year,train_rows,pretrain_loss,finetune_loss,parameters
2004,476,1.3915643692016602,0.13585057854652405,25139
2005,595,1.3543918132781982,0.13870158791542053,25139
2006,714,1.403751015663147,0.1517108976840973,25139
2007,833,1.4167698621749878,0.11127451062202454,25139
2008,952,1.4212355613708496,0.12478956580162048,25139
2009,1071,1.3886528015136719,0.12616904079914093,25139
2010,1190,1.3434017896652222,0.14358024299144745,25139
2011,1309,1.3287626504898071,0.09414488822221756,25139
2012,1428,1.3610708713531494,0.10718202590942383,25139
2013,1547,1.340045690536499,0.09293292462825775,25139
2014,1666,1.3720927238464355,0.19563569128513336,25139
2015,1785,1.3572413921356201,0.10090748220682144,25139
2016,1904,1.2813341617584229,0.0929844006896019,25139
2017,2023,1.2997136116027832,0.10122720152139664,25139
2018,2142,1.323514461517334,0.07875258475542068,25139
2019,2261,1.3488006591796875,0.07644370198249817,25139
2020,2380,1.269955039024353,0.0882493406534195,25139
2021,2499,1.3352545499801636,0.08671479672193527,25139
2022,2618,1.2892073392868042,0.0848579928278923,25139
