district_id,district,state,season,last_season,point_forecast,q10,q90,actual,p_increase,p_fall_over_5pct,p_fall_over_10pct,p_fall_over_20pct,p_fall_over_30pct,p_rise_over_5pct,p_rise_over_10pct,p_rise_over_20pct
IND013001,Ambala,Haryana,2020,4180.0,4423.8759765625,3981.5278654949257,4727.82356186324,5060.0,0.8014821131998943,0.09793321649268863,0.056903270466471076,0.002145519819141782,0.0,0.473816598049959,0.21600401357029786,0.028238067513175702
IND013002,Bhiwani,Haryana,2020,4190.0,4120.72900390625,3723.027699177035,4393.998739254872,4240.0,0.33468942197928253,0.31014352521078503,0.12967091636572617,0.03224473835068744,0.0,0.0973182014051498,0.035945670832631116,0.0
IND013003,Charkhi Dadri,Haryana,2020,4570.0,4329.10107421875,3881.2968239143397,4636.797698578566,4990.0,0.1368603876476534,0.5828899378066452,0.22293071294667988,0.05630963281423955,0.0,0.04422322596676542,0.015660725966765487,0.0
IND013004,Faridabad,Haryana,2020,4200.0,4382.4892578125,3880.2368504015235,4727.598466204099,3370.0,0.7014833263507659,0.15301933583712468,0.08266897608611816,0.0211183049901357,0.0,0.40601652323072845,0.1600066297164986,0.027141085159131273
IND013005,Fatehabad,Haryana,2020,4850.0,5024.3623046875,4539.4492123409,5357.557269946317,5040.0,0.6974582889017091,0.1345196730113263,0.06875907102027459,0.002468821433165772,0.0,0.35498150378462934,0.11149500691177894,0.007826962395447334
IND013006,Gurgaon,Haryana,2020,5060.0,4750.35498046875,4291.8869832118435,5065.378911208709,4740.0,0.10289915850068942,0.6342708544850278,0.243258893871398,0.05380463184513016,0.0,0.0338271482810778,0.002202148281077787,0.0
IND013007,Hissar,Haryana,2020,4560.0,4615.171875,4169.750719059594,4921.231020280873,4970.0,0.5059969934079673,0.18182821829263066,0.08718116661754921,0.016838835091706413,0.0,0.2188411863448647,0.05875072600247977,0.0
IND013008,Jhajjar,Haryana,2020,4810.0,4534.49169921875,4096.857177911093,4835.200468325233,4530.0,0.11422930371212703,0.6066716019770512,0.2278086378992158,0.050619277950233334,0.0,0.03719572726969733,0.007133227269697229,0.0
IND013009,Jind,Haryana,2020,4810.0,4861.70751953125,4392.492625298569,5184.1158909493415,5010.0,0.5009354634467534,0.18439463223579614,0.08824912160666562,0.015708570317911154,0.0,0.2116046134287365,0.05583662075551088,0.0
IND013010,Kaithal,Haryana,2020,4600.0,4672.75927734375,4221.780224966485,4982.637381401813,4950.0,0.519877145781172,0.1747903825281829,0.08425253079196846,0.014735157573843367,0.0,0.23868592410308487,0.06674203004877233,0.0
IND013011,Karnal,Haryana,2020,4850.0,4979.7666015625,4499.157546026211,5310.004163900839,5180.0,0.5906899244880162,0.1543806340635769,0.07575947659958714,0.007195511290307764,0.0,0.2989705112715567,0.08991683988348576,0.0017440734823545023
IND013012,Kurukshetra,Haryana,2020,4710.0,4708.0048828125,4253.624193669602,5020.2203299158155,5150.0,0.426651760811502,0.2112051399967759,0.09720507022353304,0.02199948273963321,0.0,0.14063549221889582,0.04455056171668337,0.0
IND013013,Mahendragarh,Haryana,2020,4480.0,4234.66064453125,3825.963527632987,4515.485855925958,4840.0,0.12145558304446802,0.5929343451736133,0.21795458366357762,0.04916914603094569,0.0,0.03961103604821603,0.011611036048216006,0.0
IND013014,Mewat,Haryana,2020,4600.0,4321.2958984375,3847.6722689607777,4646.733613483673,4220.0,0.12438274577967734,0.621142426526032,0.278419971543863,0.06925696663869589,0.005628418606523496,0.04236006319120533,0.01361006319120528,0.0
IND013015,Palwal,Haryana,2020,4840.0,4528.8505859375,3975.276607031751,4909.224029304644,4450.0,0.13090066435740422,0.6351336233174154,0.35475442511701794,0.08379887657906446,0.016432031223063234,0.046248751011973344,0.015998751011973344,0.0
IND013016,Panchkula,Haryana,2020,4170.0,4118.7490234375,3655.847122536153,4436.819591593703,3600.0,0.37386229238637136,0.32419747128303217,0.15130646142046375,0.043334901908170194,0.0,0.13113236543726026,0.04615017054667114,0.0
IND013017,Panipat,Haryana,2020,4750.0,4828.5732421875,4362.556215448259,5148.784285125094,4940.0,0.5225699541096664,0.17342501259192294,0.08368436304206152,0.013220465896851693,0.0,0.24253588725012387,0.06829237686866252,0.0
