season_start_year,season_shock_kg,naive_rmse,no_shock_rmse,hierarchy_rmse,gain_from_shock
2014,-1023.0042016806723,1113.2445134105335,1100.9362185464804,1024.6656241828184,76.27059436366198
2015,202.03361344537817,420.96616063926245,358.3972407473639,380.04213406592237,-21.644893318558445
2016,756.0966386554621,838.5731516524179,707.0575573394594,644.6621582805271,62.3953990589323
2017,416.01680672268907,512.7249168278586,536.1231816350687,380.16453106334643,155.95865057172227
2018,285.7731092436975,371.266512803689,394.0531135141402,439.4539121388855,-45.400798624745335
2019,-102.55462184873949,316.81840091709296,313.5278717706771,477.280683307385,-163.7528115367079
2020,33.34453781512604,275.5388075276902,268.2263238541773,266.75912058449273,1.4672032696845463
2021,-219.5308892787884,416.4133020462736,391.63076605188,310.2863055340207,81.34446051785932
2022,36.482337851022336,306.6537171128093,297.24613198654663,365.99181662902134,-68.74568464247471
