model,period,mean_gain,p025,p975,probability_positive,resampling_unit,groups
district layer only,2014-2022,26.35889506987949,-3.1110226100808376,66.11970729713312,0.9512,season,9
district layer only,2019-2022,11.875961920342716,4.770312570962801,21.329191636700216,1.0,season,4
full hierarchy,2014-2022,46.81261698680656,-28.07564739067952,107.58413480064455,0.9066,season,9
full hierarchy,2019-2022,-29.37182898174153,-127.30519848034697,66.75750032220083,0.3008,season,4
