model,rows,years,rmse,mae,bias,equal_state_rmse,mean_year_rmse,max_year_rmse,direction_accuracy
naive 3-season baseline,1071,9,573.8939626730768,424.77364521797153,-42.73970343613057,529.530974591255,508.02216477084744,1113.2445134105335,0.5788982259570495
naive 3-season baseline [2019-22 only],476,4,333.06608726858894,243.63145804295687,63.064658865344875,366.8152726774099,328.8560569009665,416.4133020462736,0.6680672268907563
NARROW window (V15 style),1071,9,748.0544056175679,556.2929084568271,-57.50532826310457,724.6443847997134,629.915285552375,1266.99990157001,0.4388422035480859
NARROW window (V15 style) [2019-22 only],476,4,373.77749166474723,287.1294990100847,100.19805411795333,399.5802311713506,370.6642041995312,438.03477702530387,0.5630252100840336
WIDE window (2010+),1071,9,670.3126136911083,496.65193297928977,-64.52190309422924,631.0437700676193,573.5374244944918,1213.6938182253095,0.4789915966386555
WIDE window (2010+) [2019-22 only],476,4,374.78277216106505,294.4674561047821,45.267119981298194,404.111199762386,373.34237067343696,428.8798451134435,0.6008403361344538
