period,mean_gain,p025,p975,probability_positive,resampling_unit,groups
untouched 2021-22,6.025010477347517,4.604369810109631,7.487468307594668,1.0,season,2
four-year,4.108939821424853,2.0277808976463803,6.332546056549631,1.0,season,4
