model,rmse,mae,bias,equal_state_rmse,direction_accuracy
1. last season only,376.27744183375853,281.70639571033155,51.756527920659316,414.6795520168084,0.5651260504201681
2. weighted 3-season history,333.06608726858894,243.63145804295687,63.064658865344875,366.8152726774099,0.6680672268907563
"3. V5 ensemble, no movement calibration",289.4702389978001,209.96471030109353,27.285466484214925,312.3651705236535,0.7794117647058824
4. V5 as released (calibration 1.5001443110),273.2618140323123,198.21184230013606,15.046404322645783,289.4960508784628,0.7794117647058824
4b. V5 with the scale rounded to 1.50,273.26314829218427,198.21250586628025,15.04993576599271,289.4990371022822,0.7794117647058824
4c. V5 with the scale rounded to 1.25,278.5406955526022,201.29089455342665,21.167701125103832,297.91129371216397,0.7794117647058824
5. V5 + V14 future correction,271.6517054513261,196.13533585677715,18.16215696383044,287.34385907429873,0.7878151260504201
6. V15 as released (+ crop correction),269.5239106325404,195.67687309244332,21.40375916656697,284.5972028263954,0.7878151260504201
