test_year,train_rows,pretrain_loss,finetune_loss,parameters
2004,476,1.697422742843628,0.18796952068805695,23271
2005,595,1.195681095123291,0.41423389315605164,23271
2006,714,1.1785787343978882,0.20002534985542297,23271
2007,833,1.2211663722991943,0.0720631405711174,23271
2008,952,1.1133400201797485,0.33052563667297363,23271
2009,1071,1.1664419174194336,0.14971798658370972,23271
2010,1190,0.9965129494667053,0.19096739590168,23271
2011,1309,0.9734066724777222,0.2137361317873001,23271
2012,1428,1.1112680435180664,0.08611294627189636,23271
2013,1547,0.9579879641532898,0.10421799123287201,23271
2014,1666,0.9159010648727417,0.03206203505396843,23271
2015,1785,0.9984539747238159,0.0790116935968399,23271
2016,1904,0.9921747446060181,0.08092448115348816,23271
2017,2023,0.935063362121582,0.06769532710313797,23271
2018,2142,1.0884547233581543,0.07557583600282669,23271
2019,2261,0.9277863502502441,0.12244658172130585,23271
2020,2380,1.005368947982788,0.05381828546524048,23271
2021,2499,0.8737267255783081,0.17751047015190125,23271
2022,2618,0.8761382102966309,0.033798765391111374,23271
