period,mean_gain,p025,p975,probability_positive,resampling_unit,groups
all nine seasons,75.85853036990794,-12.259049088556727,221.91032521076056,0.8394,season,9
2019-22 only,-1.3539932687069305,-39.083312810220434,50.137786287642825,0.4179,season,4
