model,period,rmse,mae,bias,equal_state_rmse,direction_accuracy
V5 production,dev 2019-20,256.9986380355725,187.52847148620847,-7.784044790835296,264.4504801647267,0.7773109243697479
V5 production,untouched 2021-22,288.61001033283793,208.89521311406367,37.87685343612686,305.6919934170492,0.7815126050420168
V5 production,four-year,273.2618140323123,198.21184230013606,15.046404322645783,289.4960508784628,0.7794117647058824
V14 anchor,dev 2019-20,254.10775598274657,183.73839409143554,0.5620922372791659,258.81306929650304,0.7983193277310925
V14 anchor,untouched 2021-22,288.1293919381377,208.5322776221188,35.76222169038172,305.84604182823404,0.7773109243697479
V14 anchor,four-year,271.6517054513261,196.13533585677715,18.16215696383044,287.34385907429873,0.7878151260504201
V15 as released,dev 2019-20,250.6037212857467,182.0016807230066,1.3964907874249322,256.08311548816073,0.7983193277310925
V15 as released,untouched 2021-22,287.20036852875205,209.3520654618801,41.41102754570902,304.0589625130199,0.7773109243697479
V15 as released,four-year,269.5239106325404,195.67687309244332,21.40375916656697,284.5972028263954,0.7878151260504201
FINAL model,dev 2019-20,248.57594038810038,179.77903454138044,-5.1752222942534924,254.49207862550188,0.8067226890756303
FINAL model,untouched 2021-22,281.19050719168496,207.21201060834116,17.034512160851612,296.9975482893604,0.7689075630252101
FINAL model,four-year,265.3847202407718,193.4955225748608,5.929644933299064,278.93069265432575,0.7878151260504201
