features,train_start,train_seasons_last_fold,dev_rmse,late_rmse,four_year_rmse
physical_only,2017,4,381.3282383852138,340.29004247667916,361.39212664275806
physical_only,2016,5,410.4948993771545,346.82328918891625,379.99503703237946
physical_only,2015,6,422.0303288366928,335.6806319355686,381.3076744013092
physical_only,2014,7,485.1267687688447,502.84292432348207,494.06426116361183
physical_only,2013,8,354.26390415892655,330.40953133276173,342.54442937045434
physical_plus_tiles,2017,4,391.8822898584608,337.198163802243,365.56417410375093
physical_plus_tiles,2016,5,431.0560087616736,345.4592468348652,390.6093789921438
physical_plus_tiles,2015,6,431.51981982393056,334.35333295516267,386.0061567896964
physical_plus_tiles,2014,7,465.24408972164326,481.124795880741,473.25106034334726
physical_plus_tiles,2013,8,384.12851835980547,333.519571516374,359.7151812210357
