season_start_year,narrow_rmse,wide_rmse,gain,train_rows_narrow,train_rows_wide
2014,1213.6938182253095,1213.6938182253095,0.0,119,119
2015,1103.098686269306,1103.098686269306,0.0,238,238
2016,1266.9999015700098,792.457511614199,474.5423899558108,238,357
2017,284.29083406862816,342.027348927093,-57.73651485846483,238,476
2018,318.4975130399963,217.18997272077058,101.30754031922572,238,595
2019,438.03477702530387,363.9976328760528,74.03714414925105,238,714
2020,307.3883119444979,344.25506654293486,-36.866754598436955,238,833
2021,349.648097833546,356.2369381613165,-6.5888403277705265,238,952
2022,387.58562999477704,428.8798451134435,-41.29421511866644,238,1071
