candidate,selected_gamma,dev_rmse,late_rmse,four_year_rmse,correction_sd,corr_with_error
V14 anchor (no correction),0.0,254.10775598274657,288.1293919381377,271.6517054513261,0.0,
V15 released crop correction,1.25,250.6037212857467,287.20036852875205,269.5239106325404,26.63153857173643,0.13781660617012248
tile_shape,0.25,253.989323779971,288.565975968394,271.8279778470188,32.4605576886775,0.030126987568862076
tile_anomaly,0.0,254.10775598274657,288.1293919381377,271.6517054513261,23.879862569913033,0.04708964242083541
tile_all,0.0,254.10775598274657,288.1293919381377,271.6517054513261,33.18293643710121,0.012883403200137445
unified_encoder,0.25,253.9723339113307,287.39342596874576,271.1982002912458,26.515656396430817,0.1029810390137317
tiles_plus_encoder,0.0,254.10775598274657,288.1293919381377,271.6517054513261,33.51485166641548,0.03277076521594247
