state,district,year,time_step,start_date,end_date,Red,NIR,SWIR1,SWIR2,image_count,mean_cloud_cover,quality_flag
Haryana,Panchkula,2017,0,2017-10-01,2017-10-06,0.08874341257719365,0.2702952989539211,0.2164348702244556,0.1420566874374585,0,,insufficient_data
Haryana,Panchkula,2017,1,2017-10-06,2017-10-11,0.07866957983138,0.2802854219166819,0.2053224798258489,0.1277978474583146,2,1.04,valid
Haryana,Panchkula,2017,2,2017-10-11,2017-10-16,0.0988172453230073,0.2603051759911604,0.2275472606230623,0.1563155274166024,1,0.0,valid
Haryana,Panchkula,2017,3,2017-10-16,2017-10-21,0.10729258790402323,0.2565507286179603,0.21972131630798056,0.1523248749400845,0,,insufficient_data
Haryana,Panchkula,2017,4,2017-10-21,2017-10-26,0.1060977136185861,0.2527694442773533,0.2242569522425312,0.1616347732401513,2,10.525,valid
Haryana,Panchkula,2017,5,2017-10-26,2017-10-31,0.1455858128431195,0.2328428722866455,0.2217585725404798,0.1635513516452697,1,0.0,valid
Haryana,Panchkula,2017,6,2017-10-31,2017-11-05,0.11820530911864487,0.2337656650225334,0.21913225376578394,0.16109268350461525,0,,insufficient_data
Haryana,Panchkula,2017,7,2017-11-05,2017-11-10,0.102932400894229,0.2156846785036014,0.2113812365143408,0.1580919256284248,1,2.14,valid
Haryana,Panchkula,2017,8,2017-11-10,2017-11-15,0.11894615811915987,0.22345588666994323,0.21615218781992165,0.16457499949820645,0,,insufficient_data
Haryana,Panchkula,2017,9,2017-11-15,2017-11-20,0.10998541134909207,0.21741578571270645,0.21340281337434566,0.16595873187286345,0,,insufficient_data
Haryana,Panchkula,2017,10,2017-11-20,2017-11-25,0.1083202606201311,0.2218401092195829,0.2153167544049444,0.1720817212209248,2,15.775,valid
Haryana,Panchkula,2017,11,2017-11-25,2017-11-30,0.1090551435072874,0.21799528306068772,0.20973646013203517,0.16428246276615383,0,,insufficient_data
Haryana,Panchkula,2017,12,2017-11-30,2017-12-05,0.1187035725329161,0.2147225694149351,0.2135104492037519,0.1677025487692408,1,0.0,valid
Haryana,Panchkula,2017,13,2017-12-05,2017-12-10,0.100141597368815,0.2174231705475452,0.2003821767874092,0.1530631183082959,2,3.61,valid
Haryana,Panchkula,2017,14,2017-12-10,2017-12-15,0.09781176302959597,0.2196949007748403,0.19329011028076462,0.14349365576597406,0,,insufficient_data
Haryana,Panchkula,2017,15,2017-12-15,2017-12-20,0.0883500680483039,0.21186644420886,0.179957460882164,0.1249608341136067,1,2.0,valid
Haryana,Panchkula,2017,16,2017-12-20,2017-12-25,0.09084782652848927,0.22135234456147534,0.1865499973064355,0.13542402476488516,0,,insufficient_data
Haryana,Panchkula,2017,17,2017-12-25,2017-12-30,0.0840518141683489,0.2347674189280209,0.1793103542497334,0.1282481218727529,2,6.275,valid
Haryana,Panchkula,2017,18,2017-12-30,2018-01-04,0.08566798086274335,0.23247724442704615,0.1814957684938734,0.12763289705840736,0,,insufficient_data
Haryana,Panchkula,2017,19,2018-01-04,2018-01-09,0.08477395180088983,0.23934751116644157,0.1820085376977765,0.12852358470667422,0,,insufficient_data
Haryana,Panchkula,2017,20,2018-01-09,2018-01-14,0.0818755835576547,0.2329722352730042,0.1830653938653511,0.1335829050576974,2,17.805,valid
Haryana,Panchkula,2017,21,2018-01-14,2018-01-19,0.0883944576766659,0.2503028792982996,0.183649864978245,0.1237397271895724,1,1.0,valid
Haryana,Panchkula,2017,22,2018-01-19,2018-01-24,0.13579685829541618,0.28952640196550683,0.22237220187558798,0.16231059550850235,0,,insufficient_data
Haryana,Panchkula,2017,23,2018-01-24,2018-01-29,0.288741516205463,0.4046466211923966,0.3374153033906785,0.2690514263914857,1,9.12,valid
